mirage ble_mitm TARGET=FA:A1:C5:D0:71:34 CONNECTION_TYPE=random MASTER_SPOOFING=no SLAVE_SPOOFING=yes
[INFO] Module ble_mitm loaded !
[SUCCESS] HCI Device (hci0) successfully instanciated !
[SUCCESS] HCI Device (hci1) successfully instanciated !
[INFO] Entering SCAN stage ...
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=02:6B:8E:99:9C:4A | data=1eff06000109200286af53ca3d821716d316abaa2dff6bfbff69044f4bf822 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=2C:82:38:B4:DA:AF | data=1eff06000109200660f4e0d88224b2dcd4817797e86e099a200737bb872032 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=63:77:23:71:2C:E0 | data=02011a1bff4c000c0e088d0b3da3d82dfc5a04a92121b810066b1dab43f748 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=68:32:AF:70:17:8F | data=02011a020a0c0bff4c001006321ebe0c3e41 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=57:CE:AD:82:E2:D6 | data=02011a020a0c0bff4c001006391dd2681948 >>
[PACKET] << BLE - Advertisement Packet | type=SCAN_RSP | addr=57:CE:AD:82:E2:D6 | data= >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=77:11:EF:09:68:E4 | data=02011a020a080aff4c00100527181a1563 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=6A:9C:77:3D:7E:05 | data=02011a020a0b0bff4c001006261e5084f098 >>
[PACKET] << BLE - Advertisement Packet | type=SCAN_RSP | addr=6A:9C:77:3D:7E:05 | data= >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=45:32:7B:C6:82:09 | data=02011a020a0c0cff4c001007351f45684dd748 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=32:7C:EE:70:8B:B4 | data=1eff06000109200290dc68d383c16d9ac415d64e4326de9da5433eb3c9e3e9 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=36:D6:3C:7C:21:4A | data=1eff060001092002d23292c8ec9a1f9bdd5d9cd902d44a786a79af2a6bba61 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=3F:E8:82:BD:BF:B2 | data=1eff060001092002e89e731af47c2813d4eb446640614262ea9e3ff041fb89 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=21:9B:EF:9D:B2:54 | data=1eff060001092002cc84a4302514d2394360b2730ccfe0061b68c315c8f969 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=7A:3E:F4:99:22:9C | data=02011a020a0c0bff4c0010067b1eac982b79 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=02:6B:8E:99:9C:4A | data=1eff06000109200286af53ca3d821716d316abaa2dff6bfbff69044f4bf822 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=63:31:F7:96:A2:80 | data=02011a0dff4c001608003fd69c4a0c1816 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=75:1C:EF:19:AE:D6 | data=02011a1aff7500021831b10f5a67bedc53e1a0d7cf6cc6c0f178fbffee50 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=6E:10:D3:B7:D0:41 | data=0303f3fe >>
[PACKET] << BLE - Advertisement Packet | type=SCAN_RSP | addr=6E:10:D3:B7:D0:41 | data=1e16f3fe4a1723524c34331132b55a460d3a86555f64aeddf82b1bea788fa6 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=2C:82:38:B4:DA:AF | data=1eff06000109200660f4e0d88224b2dcd4817797e86e099a200737bb872032 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=C6:E9:0C:09:17:6C | data=07ff4c0012020002 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=14:BF:28:27:59:15 | data=1eff06000109202247b971b8baf06a157fa981865bc4b9d89cbede35ed7c1c >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=71:33:FF:FC:7B:CD | data=02011a020a050bff4c0010064f1dfe648880 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=4E:04:98:E2:44:88 | data=02011a17ff4c0013081a8ba77592d02f00160800fa8ba775dae1be >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=79:76:C9:9F:03:A1 | data=0303f3fe >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=79:A5:58:C8:6C:73 | data=0303f3fe >>
[PACKET] << BLE - Advertisement Packet | type=SCAN_RSP | addr=79:A5:58:C8:6C:73 | data=1e16f3fe4a1723525349491132c26c4e4ba49d66a34527989e9a82bf00259d >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=36:D6:3C:7C:21:4A | data=1eff060001092002d23292c8ec9a1f9bdd5d9cd902d44a786a79af2a6bba61 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=03:3B:DE:6B:57:94 | data=1eff060001092002df45259a43de4bc3f73d809806e00072e4d807124b7d55 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=21:9B:EF:9D:B2:54 | data=1eff060001092002cc84a4302514d2394360b2730ccfe0061b68c315c8f969 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=02:6B:8E:99:9C:4A | data=1eff06000109200286af53ca3d821716d316abaa2dff6bfbff69044f4bf822 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=63:77:23:71:2C:E0 | data=02011a1bff4c000c0e088d0b3da3d82dfc5a04a92121b810066b1dab43f748 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=47:63:56:10:0E:A2 | data=02011a020a0c0cff4c001007361fe0182a6108 >>
[PACKET] << BLE - Advertisement Packet | type=SCAN_RSP | addr=47:63:56:10:0E:A2 | data= >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=72:0B:A6:64:73:87 | data=02011a020a0c0cff4c001007311f1be8153058 >>
[PACKET] << BLE - Advertisement Packet | type=SCAN_RSP | addr=72:0B:A6:64:73:87 | data= >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=ED:F5:09:79:61:3F | data=1aff4c0012022400071106d3b34598c105e96e46382d30e682b8ff >>
[PACKET] << BLE - Advertisement Packet | type=SCAN_RSP | addr=ED:F5:09:79:61:3F | data= >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=77:11:EF:09:68:E4 | data=02011a020a080aff4c00100527181a1563 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=2C:82:38:B4:DA:AF | data=1eff06000109200660f4e0d88224b2dcd4817797e86e099a200737bb872032 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=14:BF:28:27:59:15 | data=1eff06000109202247b971b8baf06a157fa981865bc4b9d89cbede35ed7c1c >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=2A:AA:A2:19:9A:BA | data=1eff0600010920023b72f3d8dfb5d47c7b064607182aaa389603149106aa18 >>
